project_id,region,dept,year,project_title,project_url,url_cerfa,url_decision
6ebaa51e8c9f443e58d9623df35b74495e6987bf,pays_de_loire,??,2023,implantation de containers de systèmes de stockage d'électricité par batteries d'une puissance installée de 36 MW/72MWH,https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/880391/implantation-de-containers-de-systemes-de-stockage-d-electricite-par-batteries-d-une-puissance-insta,http://autorite-environnementale-entrepot.developpement-durable.gouv.fr/internet_2052/2023-006804-50358_2023-6804_Formuliare_complet.pdf,http://autorite-environnementale-entrepot.developpement-durable.gouv.fr/internet_2052/2023-006804-51042_2023-6804_Decison_signee_ALM.pdf
5bae2def8f98cebf52de03c9056b392376142220,pays_de_loire,??,2023,unité de stockage d'énergie par batteries reliée au poste RTE,https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/883000/unite-de-stockage-d-energie-par-batteries-reliee-au-poste-rte,http://autorite-environnementale-entrepot.developpement-durable.gouv.fr/internet_2052/2023-007327-53278_2023_7327_formulaire_complet.pdf,http://autorite-environnementale-entrepot.developpement-durable.gouv.fr/internet_2052/2023-007327-53592_2023-7327_Projet_d_arrete.signepdf.pdf
cc059e39b2dcc176b978015ae471f1cef2e2a83b,normandie,61,2023,Projet de stockage de batteries au sol sur la commune de Rai (61),https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/880031/projet-de-stockage-de-batteries-au-sol-sur-la-commune-de-rai-61,,http://autorite-environnementale-entrepot.developpement-durable.gouv.fr/internet_2028/2023-004901-41326_D_2023-4901_stockage_batteries_Rai.pdf
99fe04be19dc0e9863f972ea2c39f898ace58b88,normandie,14,2023,Stockage d'électricité par batteries et création d'un poste de transformation sur la commune d'Orbec (14),https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/880516/stockage-d-electricite-par-batteries-et-creation-d-un-poste-de-transformation-sur-la-commune-d-orbec,,http://autorite-environnementale-entrepot.developpement-durable.gouv.fr/internet_2028/2023-004917-42086_D_2023-4917_stockage_batteries_Orbec_DDL_signe.pdf
f62785511a38bbc12c3a5e84b3af0ecb23ac1f16,normandie,27,2023,Projet de stockage d'énergie par batteries au lieu-dit de la Plesse sur la commune de Saint-Pierre-de-Bailleul (27),https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/881378/projet-de-stockage-d-energie-par-batteries-au-lieu-dit-de-la-plesse-sur-la-commune-de-saint-pierre-d,,http://autorite-environnementale-entrepot.developpement-durable.gouv.fr/internet_2028/2023-004965-42303_D_2023-4965_stockage_energie_batteries_St-P-de-B_signe.pdf
071a9675c81d05a9eefb1831c79e9c254f48e65e,normandie,27,2023,"Unité de stockage par batteries d'électricité, raccordée à la station RTE du Manoir Pîtres (27)",https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/881882/unite-de-stockage-par-batteries-d-electricite-raccordee-a-la-station-rte-du-manoir-pitres-27,,http://autorite-environnementale-entrepot.developpement-durable.gouv.fr/internet_2028/2023-005011-43001_Decision_2023-5011.pdf
760d6c5c15be699c31fb44680d5fc1d3c946543d,normandie,50,2023,Implantation d'une unité de stockage d'énergie au lieu-dit Le Tertre sur la commune de Saint-Laurent-de-Terregatte (50),https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/877753/implantation-d-une-unite-de-stockage-d-energie-au-lieu-dit-le-tertre-sur-la-commune-de-saint-laurent,,http://autorite-environnementale-entrepot.developpement-durable.gouv.fr/internet_2028/2022-004747-40058_Decision_2022-4747.pdf
a205117eac31a6194f946674b41722055121d332,grand_est,54,2023,Projet de stockage d’énergie par batteries de l'Obrion à Bezaumont (54),https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/880402/projet-de-stockage-d-energie-par-batteries-de-l-obrion-a-bezaumont-54,,
4009a9caa4c29f16b0b2d453b65e7e4267e852b2,grand_est,57,2023,Projet de stockage d’énergie par batteries de la Sarre à Hilbesheim (57),https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/881073/projet-de-stockage-d-energie-par-batteries-de-la-sarre-a-hilbesheim-57,,
7b801683cf5b0838fd609567e639936809a80846,grand_est,54,2023,Projet de stockage d’énergie par batteries de Corvées à Chenières (54),https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/881290/projet-de-stockage-d-energie-par-batteries-de-corvees-a-chenieres-54,,
84a8687838afc889d15b221bfc34b7664e1d05a3,grand_est,51,2023,Unité de Stockage d'Energie de Cernay-les-Reims (51),https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/878287/unite-de-stockage-d-energie-de-cernay-les-reims-51,,
ccda29f3b56d22812fdfa6dc4e319f045b92f4a4,grand_est,55,2023,"Station de stockage d'électricité de ""La Noblette"" sur la commune de Stenay (55)",https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/881347/station-de-stockage-d-electricite-de-la-noblette-sur-la-commune-de-stenay-55,,
7969ee52172c70c7e6b9ea9be2a49f32f8112fda,grand_est,55,2023,"Station de stockage d'électricité de ""La Noblette V2"" sur la commune de Stenay (55)",https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/883362/station-de-stockage-d-electricite-de-la-noblette-v2-sur-la-commune-de-stenay-55,,
9020385cd5cdcdfb6cfcbb3d442f3a5423d406f4,centre_val_de_loire,36,2023,Projet stockage d'énergie électrique à Sainte-Lizaigne (36),https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/883112/projet-stockage-d-energie-electrique-a-sainte-lizaigne-36,,http://autorite-environnementale-entrepot.developpement-durable.gouv.fr/internet_2024/2023-004361-13279_F02423P0186_Poste_de_transformation_et_de_stockage_d_electricite_a_Sainte_Lizaigne_(36).pdf
6eef63d7241b87634af5c28075ae2859d1c642fa,centre_val_de_loire,37,2023,Station de stockage d'électricité de La Planche à Chanceaux-sur-Choisille (37),https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/880008/station-de-stockage-d-electricite-de-la-planche-a-chanceaux-sur-choisille-37,,http://autorite-environnementale-entrepot.developpement-durable.gouv.fr/internet_2024/2023-004157-12787_20230608-PV-Corquilleroy-Decision.pdf
cd457932a52871ff00574f5465f4b4a8f4e125e9,centre_val_de_loire,41,2023,Station de stockage d'électricité Les Mares à Villerbon (41),https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/880010/station-de-stockage-d-electricite-les-mares-a-villerbon-41,,http://autorite-environnementale-entrepot.developpement-durable.gouv.fr/internet_2024/2023-004158-12850_F02423P0070_Station_de_stockage_d_electricite_a_Villerbon_(41).pdf
0d27924f0df8164f637c4f8f7ec6a41b58005523,bretagne,56,2023,Mise en place d'une unité de stockage d'énergie sur batteries à Caudan (56),https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/880442/mise-en-place-d-une-unite-de-stockage-d-energie-sur-batteries-a-caudan-56,http://autorite-environnementale-entrepot.developpement-durable.gouv.fr/internet_2053/2023-010679-72326_cerfa.pdf,http://autorite-environnementale-entrepot.developpement-durable.gouv.fr/internet_2053/2023-010679-73010_10679_ARRETE.pdf
125903caec9578aadbdde80d37b73b8f9e3c60b2,bretagne,29,2023,Installation d'un poste de transformation HTB et d'une unité de stockage d'électricité à Pleyber-Christ (29),https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/878908/installation-d-un-poste-de-transformation-htb-et-d-une-unite-de-stockage-d-electricite-a-pleyber-chr,http://autorite-environnementale-entrepot.developpement-durable.gouv.fr/internet_2053/2022-010375-71054_cerfa.pdf,http://autorite-environnementale-entrepot.developpement-durable.gouv.fr/internet_2053/2022-010375-71874_10375_ARRETE.pdf
51d9934042c4e02703392bc7fee212cfa2092826,bretagne,35,2023,Création d'un poste de transformation de tension 225 kV en amont d'un projet de stockage d'électricité à Domloup (35),https://side.developpement-durable.gouv.fr/PAE/doc/SYRACUSE/879858/creation-d-un-poste-de-transformation-de-tension-225-kv-en-amont-d-un-projet-de-stockage-d-electrici,,http://autorite-environnementale-entrepot.developpement-durable.gouv.fr/internet_2053/2023-010548-73212_10548_ARRETE.pdf
